block_id,drug_row,drug_col,conc_r,conc_C,response,conc_r_unit,conc_c_unit,cell
2,Trametinib,Dactolisib,0,0,96.7742652946235,nM,nM,BT-549
2,Trametinib,Dactolisib,0,0.3,94.830372764746,nM,nM,BT-549
2,Trametinib,Dactolisib,0,1,91.6676551703686,nM,nM,BT-549
2,Trametinib,Dactolisib,0,3,82.9535007858604,nM,nM,BT-549
2,Trametinib,Dactolisib,0,10,76.4768245307079,nM,nM,BT-549
2,Trametinib,Dactolisib,0,30,51.9001512410664,nM,nM,BT-549
2,Trametinib,Dactolisib,0,100,39.3827288633196,nM,nM,BT-549
2,Trametinib,Dactolisib,0,300,35.8819430028766,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,0,104.652145547285,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,0.3,106.484831410694,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,1,104.13169834821,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,3,93.2245485009341,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,10,79.1769223925744,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,30,60.0938584264998,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,100,34.5519112719077,nM,nM,BT-549
2,Trametinib,Dactolisib,0.03,300,30.4861955458023,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,0,110.648409003292,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,0.3,104.185077548115,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,1,96.3694730286765,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,3,95.7378191631328,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,10,85.6269090477744,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,30,63.4389549538863,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,100,36.6337000682068,nM,nM,BT-549
2,Trametinib,Dactolisib,0.1,300,28.9159574152605,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,0,108.277482874173,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,0.3,110.87082233623,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,1,106.943002876546,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,3,92.37937783577,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,10,86.6055277127013,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,30,61.6329586904303,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,100,37.9103525992705,nM,nM,BT-549
2,Trametinib,Dactolisib,0.3,300,32.5546395421251,nM,nM,BT-549
2,Trametinib,Dactolisib,1,0,106.222383677827,nM,nM,BT-549
2,Trametinib,Dactolisib,1,0.3,100.568636754545,nM,nM,BT-549
2,Trametinib,Dactolisib,1,1,95.844577562943,nM,nM,BT-549
2,Trametinib,Dactolisib,1,3,92.4372053023339,nM,nM,BT-549
2,Trametinib,Dactolisib,1,10,82.6376738530886,nM,nM,BT-549
2,Trametinib,Dactolisib,1,30,60.3162717594377,nM,nM,BT-549
2,Trametinib,Dactolisib,1,100,35.6372883366448,nM,nM,BT-549
2,Trametinib,Dactolisib,1,300,32.1187094095667,nM,nM,BT-549
2,Trametinib,Dactolisib,3,0,101.280359419946,nM,nM,BT-549
2,Trametinib,Dactolisib,3,0.3,99.4165356899261,nM,nM,BT-549
2,Trametinib,Dactolisib,3,1,102.103288751816,nM,nM,BT-549
2,Trametinib,Dactolisib,3,3,86.9302511787907,nM,nM,BT-549
2,Trametinib,Dactolisib,3,10,73.7411405355713,nM,nM,BT-549
2,Trametinib,Dactolisib,3,30,51.7400136413511,nM,nM,BT-549
2,Trametinib,Dactolisib,3,100,32.9149491414845,nM,nM,BT-549
2,Trametinib,Dactolisib,3,300,30.050265413244,nM,nM,BT-549
2,Trametinib,Dactolisib,10,0,102.218943684944,nM,nM,BT-549
2,Trametinib,Dactolisib,10,0.3,95.733370896474,nM,nM,BT-549
2,Trametinib,Dactolisib,10,1,95.2440615640106,nM,nM,BT-549
2,Trametinib,Dactolisib,10,3,81.9348477210047,nM,nM,BT-549
2,Trametinib,Dactolisib,10,10,73.9546573351917,nM,nM,BT-549
2,Trametinib,Dactolisib,10,30,45.1565789863883,nM,nM,BT-549
2,Trametinib,Dactolisib,10,100,33.3330862074078,nM,nM,BT-549
2,Trametinib,Dactolisib,10,300,27.98626968358,nM,nM,BT-549
2,Trametinib,Dactolisib,30,0,89.3100738412265,nM,nM,BT-549
2,Trametinib,Dactolisib,30,0.3,91.6276207704398,nM,nM,BT-549
2,Trametinib,Dactolisib,30,1,84.7550487826577,nM,nM,BT-549
2,Trametinib,Dactolisib,30,3,76.0231013315145,nM,nM,BT-549
2,Trametinib,Dactolisib,30,10,65.2405029506835,nM,nM,BT-549
2,Trametinib,Dactolisib,30,30,44.7162005871712,nM,nM,BT-549
2,Trametinib,Dactolisib,30,100,31.8829512766525,nM,nM,BT-549
2,Trametinib,Dactolisib,30,300,27.98626968358,nM,nM,BT-549
3,Refametinib,Dactolisib,0,0,86,nM,nM,BT-549
3,Refametinib,Dactolisib,0,0.3,98,nM,nM,BT-549
3,Refametinib,Dactolisib,0,1,97,nM,nM,BT-549
3,Refametinib,Dactolisib,0,3,85,nM,nM,BT-549
3,Refametinib,Dactolisib,0,10,75,nM,nM,BT-549
3,Refametinib,Dactolisib,0,30,60,nM,nM,BT-549
3,Refametinib,Dactolisib,0,100,39,nM,nM,BT-549
3,Refametinib,Dactolisib,0,300,31,nM,nM,BT-549
3,Refametinib,Dactolisib,1,0,102,nM,nM,BT-549
3,Refametinib,Dactolisib,1,0.3,103,nM,nM,BT-549
3,Refametinib,Dactolisib,1,1,98,nM,nM,BT-549
3,Refametinib,Dactolisib,1,3,94,nM,nM,BT-549
3,Refametinib,Dactolisib,1,10,79,nM,nM,BT-549
3,Refametinib,Dactolisib,1,30,64,nM,nM,BT-549
3,Refametinib,Dactolisib,1,100,37,nM,nM,BT-549
3,Refametinib,Dactolisib,1,300,34,nM,nM,BT-549
3,Refametinib,Dactolisib,3,0,106,nM,nM,BT-549
3,Refametinib,Dactolisib,3,0.3,112,nM,nM,BT-549
3,Refametinib,Dactolisib,3,1,103,nM,nM,BT-549
3,Refametinib,Dactolisib,3,3,101,nM,nM,BT-549
3,Refametinib,Dactolisib,3,10,82,nM,nM,BT-549
3,Refametinib,Dactolisib,3,30,66,nM,nM,BT-549
3,Refametinib,Dactolisib,3,100,42,nM,nM,BT-549
3,Refametinib,Dactolisib,3,300,31,nM,nM,BT-549
3,Refametinib,Dactolisib,10,0,106,nM,nM,BT-549
3,Refametinib,Dactolisib,10,0.3,110,nM,nM,BT-549
3,Refametinib,Dactolisib,10,1,111,nM,nM,BT-549
3,Refametinib,Dactolisib,10,3,99,nM,nM,BT-549
3,Refametinib,Dactolisib,10,10,81,nM,nM,BT-549
3,Refametinib,Dactolisib,10,30,65,nM,nM,BT-549
3,Refametinib,Dactolisib,10,100,38,nM,nM,BT-549
3,Refametinib,Dactolisib,10,300,33,nM,nM,BT-549
3,Refametinib,Dactolisib,30,0,103,nM,nM,BT-549
3,Refametinib,Dactolisib,30,0.3,104,nM,nM,BT-549
3,Refametinib,Dactolisib,30,1,107,nM,nM,BT-549
3,Refametinib,Dactolisib,30,3,90,nM,nM,BT-549
3,Refametinib,Dactolisib,30,10,80,nM,nM,BT-549
3,Refametinib,Dactolisib,30,30,63,nM,nM,BT-549
3,Refametinib,Dactolisib,30,100,38,nM,nM,BT-549
3,Refametinib,Dactolisib,30,300,30,nM,nM,BT-549
3,Refametinib,Dactolisib,100,0,104,nM,nM,BT-549
3,Refametinib,Dactolisib,100,0.3,108,nM,nM,BT-549
3,Refametinib,Dactolisib,100,1,95,nM,nM,BT-549
3,Refametinib,Dactolisib,100,3,89,nM,nM,BT-549
3,Refametinib,Dactolisib,100,10,79,nM,nM,BT-549
3,Refametinib,Dactolisib,100,30,61,nM,nM,BT-549
3,Refametinib,Dactolisib,100,100,39,nM,nM,BT-549
3,Refametinib,Dactolisib,100,300,30,nM,nM,BT-549
3,Refametinib,Dactolisib,300,0,104,nM,nM,BT-549
3,Refametinib,Dactolisib,300,0.3,98,nM,nM,BT-549
3,Refametinib,Dactolisib,300,1,93,nM,nM,BT-549
3,Refametinib,Dactolisib,300,3,92,nM,nM,BT-549
3,Refametinib,Dactolisib,300,10,78,nM,nM,BT-549
3,Refametinib,Dactolisib,300,30,60,nM,nM,BT-549
3,Refametinib,Dactolisib,300,100,38,nM,nM,BT-549
3,Refametinib,Dactolisib,300,300,28,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,0,87,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,0.3,95,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,1,86,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,3,77,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,10,67,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,30,44,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,100,36,nM,nM,BT-549
3,Refametinib,Dactolisib,1000,300,28,nM,nM,BT-549
4,Indibulin,Dactolisib,0,0,97.6105394264701,nM,nM,BT-549
4,Indibulin,Dactolisib,0,0.3,101.271462886628,nM,nM,BT-549
4,Indibulin,Dactolisib,0,1,102.681563417455,nM,nM,BT-549
4,Indibulin,Dactolisib,0,3,95.4130956970434,nM,nM,BT-549
4,Indibulin,Dactolisib,0,10,91.9301029032354,nM,nM,BT-549
4,Indibulin,Dactolisib,0,30,66.6283621482162,nM,nM,BT-549
4,Indibulin,Dactolisib,0,100,36.9584235342961,nM,nM,BT-549
4,Indibulin,Dactolisib,0,300,33.9469470063165,nM,nM,BT-549
4,Indibulin,Dactolisib,1,0,98.6870199578897,nM,nM,BT-549
4,Indibulin,Dactolisib,1,0.3,106.146763144628,nM,nM,BT-549
4,Indibulin,Dactolisib,1,1,96.9210580943626,nM,nM,BT-549
4,Indibulin,Dactolisib,1,3,109.86551407135,nM,nM,BT-549
4,Indibulin,Dactolisib,1,10,88.9008333086207,nM,nM,BT-549
4,Indibulin,Dactolisib,1,30,58.7193440289434,nM,nM,BT-549
4,Indibulin,Dactolisib,1,100,36.3312179354112,nM,nM,BT-549
4,Indibulin,Dactolisib,1,300,32.9905696746834,nM,nM,BT-549
4,Indibulin,Dactolisib,3,0,92.1436197028558,nM,nM,BT-549
4,Indibulin,Dactolisib,3,0.3,102.174461018357,nM,nM,BT-549
4,Indibulin,Dactolisib,3,1,102.561460217669,nM,nM,BT-549
4,Indibulin,Dactolisib,3,3,93.9318228996767,nM,nM,BT-549
4,Indibulin,Dactolisib,3,10,82.6643634530411,nM,nM,BT-549
4,Indibulin,Dactolisib,3,30,56.6597965659381,nM,nM,BT-549
4,Indibulin,Dactolisib,3,100,39.338246196732,nM,nM,BT-549
4,Indibulin,Dactolisib,3,300,30.8020224785742,nM,nM,BT-549
4,Indibulin,Dactolisib,10,0,97.9575042258533,nM,nM,BT-549
4,Indibulin,Dactolisib,10,0.3,104.42083568103,nM,nM,BT-549
4,Indibulin,Dactolisib,10,1,98.3711930251179,nM,nM,BT-549
4,Indibulin,Dactolisib,10,3,91.9567925031879,nM,nM,BT-549
4,Indibulin,Dactolisib,10,10,86.334183446517,nM,nM,BT-549
4,Indibulin,Dactolisib,10,30,57.8830698970968,nM,nM,BT-549
4,Indibulin,Dactolisib,10,100,35.1657720708164,nM,nM,BT-549
4,Indibulin,Dactolisib,10,300,28.9470952818718,nM,nM,BT-549
4,Indibulin,Dactolisib,30,0,102.152219685063,nM,nM,BT-549
4,Indibulin,Dactolisib,30,0.3,103.526734082619,nM,nM,BT-549
4,Indibulin,Dactolisib,30,1,104.687731680555,nM,nM,BT-549
4,Indibulin,Dactolisib,30,3,97.2057471605231,nM,nM,BT-549
4,Indibulin,Dactolisib,30,10,74.2482429346698,nM,nM,BT-549
4,Indibulin,Dactolisib,30,30,53.6082856380297,nM,nM,BT-549
4,Indibulin,Dactolisib,30,100,32.7414667417929,nM,nM,BT-549
4,Indibulin,Dactolisib,30,300,26.8830995522078,nM,nM,BT-549
4,Indibulin,Dactolisib,100,0,98.4156756917055,nM,nM,BT-549
4,Indibulin,Dactolisib,100,0.3,100.955635953857,nM,nM,BT-549
4,Indibulin,Dactolisib,100,1,101.169152753477,nM,nM,BT-549
4,Indibulin,Dactolisib,100,3,82.5264671866196,nM,nM,BT-549
4,Indibulin,Dactolisib,100,10,75.3469647993832,nM,nM,BT-549
4,Indibulin,Dactolisib,100,30,44.7695797870763,nM,nM,BT-549
4,Indibulin,Dactolisib,100,100,26.3937902197444,nM,nM,BT-549
4,Indibulin,Dactolisib,100,300,20.4420094303253,nM,nM,BT-549
4,Indibulin,Dactolisib,300,0,80.3512647904866,nM,nM,BT-549
4,Indibulin,Dactolisib,300,0.3,90.7557605053231,nM,nM,BT-549
4,Indibulin,Dactolisib,300,1,83.496189318229,nM,nM,BT-549
4,Indibulin,Dactolisib,300,3,86.9569407787432,nM,nM,BT-549
4,Indibulin,Dactolisib,300,10,72.5845912042941,nM,nM,BT-549
4,Indibulin,Dactolisib,300,30,39.2314877969218,nM,nM,BT-549
4,Indibulin,Dactolisib,300,100,24.3609323566917,nM,nM,BT-549
4,Indibulin,Dactolisib,300,300,20.5888022300643,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,0,62.2245781560452,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,0.3,58.6837578956733,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,1,58.781619762166,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,3,48.1636072477091,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,10,51.4063936419442,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,30,25.3795854215474,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,100,22.5237982266244,nM,nM,BT-549
4,Indibulin,Dactolisib,1000,300,20.5888022300643,nM,nM,BT-549
5,GSK269962,Trametinib,0,0,116.213190593399,nM,nM,BT-549
5,GSK269962,Trametinib,0,0.03,111.987337267578,nM,nM,BT-549
5,GSK269962,Trametinib,0,0.1,116.168707926811,nM,nM,BT-549
5,GSK269962,Trametinib,0,0.3,110.065686070994,nM,nM,BT-549
5,GSK269962,Trametinib,0,1,111.546958868361,nM,nM,BT-549
5,GSK269962,Trametinib,0,3,105.715281278728,nM,nM,BT-549
5,GSK269962,Trametinib,0,10,96.7030930280834,nM,nM,BT-549
5,GSK269962,Trametinib,0,30,91.6809999703449,nM,nM,BT-549
5,GSK269962,Trametinib,1,0,111.791613534593,nM,nM,BT-549
5,GSK269962,Trametinib,1,0.03,116.493431392901,nM,nM,BT-549
5,GSK269962,Trametinib,1,0.1,119.93638978678,nM,nM,BT-549
5,GSK269962,Trametinib,1,0.3,114.122505263782,nM,nM,BT-549
5,GSK269962,Trametinib,1,1,109.229411939148,nM,nM,BT-549
5,GSK269962,Trametinib,1,3,101.863082352243,nM,nM,BT-549
5,GSK269962,Trametinib,1,10,98.9628124907328,nM,nM,BT-549
5,GSK269962,Trametinib,1,30,96.5740932949794,nM,nM,BT-549
5,GSK269962,Trametinib,3,0,112.365439933573,nM,nM,BT-549
5,GSK269962,Trametinib,3,0.03,112.592301533169,nM,nM,BT-549
5,GSK269962,Trametinib,3,0.1,112.356543400255,nM,nM,BT-549
5,GSK269962,Trametinib,3,0.3,103.242045016459,nM,nM,BT-549
5,GSK269962,Trametinib,3,1,103.606802882477,nM,nM,BT-549
5,GSK269962,Trametinib,3,3,103.242045016459,nM,nM,BT-549
5,GSK269962,Trametinib,3,10,101.671806885917,nM,nM,BT-549
5,GSK269962,Trametinib,3,30,91.9968269031168,nM,nM,BT-549
5,GSK269962,Trametinib,10,0,102.895080217075,nM,nM,BT-549
5,GSK269962,Trametinib,10,0.03,119.011150321758,nM,nM,BT-549
5,GSK269962,Trametinib,10,0.1,109.389549538863,nM,nM,BT-549
5,GSK269962,Trametinib,10,0.3,105.555143679013,nM,nM,BT-549
5,GSK269962,Trametinib,10,1,95.6177159633463,nM,nM,BT-549
5,GSK269962,Trametinib,10,3,96.4495418285341,nM,nM,BT-549
5,GSK269962,Trametinib,10,10,97.6016428931526,nM,nM,BT-549
5,GSK269962,Trametinib,10,30,85.96497731384,nM,nM,BT-549
5,GSK269962,Trametinib,30,0,99.9191898223659,nM,nM,BT-549
5,GSK269962,Trametinib,30,0.03,100.604222887815,nM,nM,BT-549
5,GSK269962,Trametinib,30,0.1,98.3889860917529,nM,nM,BT-549
5,GSK269962,Trametinib,30,0.3,100.132706621986,nM,nM,BT-549
5,GSK269962,Trametinib,30,1,91.3117938376679,nM,nM,BT-549
5,GSK269962,Trametinib,30,3,101.342635153169,nM,nM,BT-549
5,GSK269962,Trametinib,30,10,95.9246463628006,nM,nM,BT-549
5,GSK269962,Trametinib,30,30,85.413392248154,nM,nM,BT-549
5,GSK269962,Trametinib,100,0,97.2858159603808,nM,nM,BT-549
5,GSK269962,Trametinib,100,0.03,98.8827436908751,nM,nM,BT-549
5,GSK269962,Trametinib,100,0.1,94.7414074315708,nM,nM,BT-549
5,GSK269962,Trametinib,100,0.3,88.7896266421518,nM,nM,BT-549
5,GSK269962,Trametinib,100,1,90.0440378399217,nM,nM,BT-549
5,GSK269962,Trametinib,100,3,93.3535482340381,nM,nM,BT-549
5,GSK269962,Trametinib,100,10,92.3082055692299,nM,nM,BT-549
5,GSK269962,Trametinib,100,30,79.4438183920999,nM,nM,BT-549
5,GSK269962,Trametinib,300,0,85.5512885145755,nM,nM,BT-549
5,GSK269962,Trametinib,300,0.03,84.5726698496486,nM,nM,BT-549
5,GSK269962,Trametinib,300,0.1,88.4115239761573,nM,nM,BT-549
5,GSK269962,Trametinib,300,0.3,87.6864565107796,nM,nM,BT-549
5,GSK269962,Trametinib,300,1,80.6048159900359,nM,nM,BT-549
5,GSK269962,Trametinib,300,3,81.9170546543697,nM,nM,BT-549
5,GSK269962,Trametinib,300,10,79.884196791317,nM,nM,BT-549
5,GSK269962,Trametinib,300,30,75.0266895999525,nM,nM,BT-549
5,GSK269962,Trametinib,1000,0,75.7339639986952,nM,nM,BT-549
5,GSK269962,Trametinib,1000,0.03,82.8022597194626,nM,nM,BT-549
5,GSK269962,Trametinib,1000,0.1,80.7427122564574,nM,nM,BT-549
5,GSK269962,Trametinib,1000,0.3,77.3709261291183,nM,nM,BT-549
5,GSK269962,Trametinib,1000,1,79.3370599922897,nM,nM,BT-549
5,GSK269962,Trametinib,1000,3,81.8948133210759,nM,nM,BT-549
5,GSK269962,Trametinib,1000,10,78.5452685270306,nM,nM,BT-549
5,GSK269962,Trametinib,1000,30,75.0266895999525,nM,nM,BT-549
6,Navitoclax,Trametinib,0,0,113.037128199045,nM,nM,BT-549
6,Navitoclax,Trametinib,0,0.03,111.760475667981,nM,nM,BT-549
6,Navitoclax,Trametinib,0,0.1,110.025651671066,nM,nM,BT-549
6,Navitoclax,Trametinib,0,0.3,103.842561015391,nM,nM,BT-549
6,Navitoclax,Trametinib,0,1,96.747575694671,nM,nM,BT-549
6,Navitoclax,Trametinib,0,3,96.5563002283444,nM,nM,BT-549
6,Navitoclax,Trametinib,0,10,99.4387770232199,nM,nM,BT-549
6,Navitoclax,Trametinib,0,30,79.6706799916966,nM,nM,BT-549
6,Navitoclax,Trametinib,1,0,117.093947391833,nM,nM,BT-549
6,Navitoclax,Trametinib,1,0.03,110.412650870378,nM,nM,BT-549
6,Navitoclax,Trametinib,1,0.1,114.616262862904,nM,nM,BT-549
6,Navitoclax,Trametinib,1,0.3,111.747130868005,nM,nM,BT-549
6,Navitoclax,Trametinib,1,1,101.831944485632,nM,nM,BT-549
6,Navitoclax,Trametinib,1,3,101.569496752765,nM,nM,BT-549
6,Navitoclax,Trametinib,1,10,94.203167165861,nM,nM,BT-549
6,Navitoclax,Trametinib,1,30,92.3704813024525,nM,nM,BT-549
6,Navitoclax,Trametinib,3,0,116.586844992734,nM,nM,BT-549
6,Navitoclax,Trametinib,3,0.03,111.529165801726,nM,nM,BT-549
6,Navitoclax,Trametinib,3,0.1,100.292844221702,nM,nM,BT-549
6,Navitoclax,Trametinib,3,0.3,103.95376768186,nM,nM,BT-549
6,Navitoclax,Trametinib,3,1,104.145043148187,nM,nM,BT-549
6,Navitoclax,Trametinib,3,3,95.9024050295068,nM,nM,BT-549
6,Navitoclax,Trametinib,3,10,94.5590284985617,nM,nM,BT-549
6,Navitoclax,Trametinib,3,30,83.8342575842947,nM,nM,BT-549
6,Navitoclax,Trametinib,10,0,107.757035675099,nM,nM,BT-549
6,Navitoclax,Trametinib,10,0.03,106.520417543964,nM,nM,BT-549
6,Navitoclax,Trametinib,10,0.1,109.22051540583,nM,nM,BT-549
6,Navitoclax,Trametinib,10,0.3,105.323833812758,nM,nM,BT-549
6,Navitoclax,Trametinib,10,1,99.7812935559444,nM,nM,BT-549
6,Navitoclax,Trametinib,10,3,99.0473295572492,nM,nM,BT-549
6,Navitoclax,Trametinib,10,10,101.898668485513,nM,nM,BT-549
6,Navitoclax,Trametinib,10,30,84.9507725156431,nM,nM,BT-549
6,Navitoclax,Trametinib,30,0,106.413659144153,nM,nM,BT-549
6,Navitoclax,Trametinib,30,0.03,110.732926069808,nM,nM,BT-549
6,Navitoclax,Trametinib,30,0.1,113.428575665016,nM,nM,BT-549
6,Navitoclax,Trametinib,30,0.3,100.786601820824,nM,nM,BT-549
6,Navitoclax,Trametinib,30,1,100.880015420658,nM,nM,BT-549
6,Navitoclax,Trametinib,30,3,91.9567925031879,nM,nM,BT-549
6,Navitoclax,Trametinib,30,10,98.2377450253551,nM,nM,BT-549
6,Navitoclax,Trametinib,30,30,87.8376975771774,nM,nM,BT-549
6,Navitoclax,Trametinib,100,0,108.419827407254,nM,nM,BT-549
6,Navitoclax,Trametinib,100,0.03,104.078319148305,nM,nM,BT-549
6,Navitoclax,Trametinib,100,0.1,104.661042080603,nM,nM,BT-549
6,Navitoclax,Trametinib,100,0.3,113.130541798879,nM,nM,BT-549
6,Navitoclax,Trametinib,100,1,110.884167136206,nM,nM,BT-549
6,Navitoclax,Trametinib,100,3,108.446517007206,nM,nM,BT-549
6,Navitoclax,Trametinib,100,10,96.783161827941,nM,nM,BT-549
6,Navitoclax,Trametinib,100,30,92.3704813024525,nM,nM,BT-549
6,Navitoclax,Trametinib,300,0,103.806974882121,nM,nM,BT-549
6,Navitoclax,Trametinib,300,0.03,105.92434981169,nM,nM,BT-549
6,Navitoclax,Trametinib,300,0.1,108.366448207349,nM,nM,BT-549
6,Navitoclax,Trametinib,300,0.3,100.337326888289,nM,nM,BT-549
6,Navitoclax,Trametinib,300,1,101.106877020254,nM,nM,BT-549
6,Navitoclax,Trametinib,300,3,103.913733281931,nM,nM,BT-549
6,Navitoclax,Trametinib,300,10,101.960944218736,nM,nM,BT-549
6,Navitoclax,Trametinib,300,30,85.4356335814478,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,0,104.176181014798,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,0.03,107.183209276119,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,0.1,101.080187420302,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,0.3,105.942142878325,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,1,100.435188754782,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,3,99.2563980902108,nM,nM,BT-549
6,Navitoclax,Trametinib,1000,10,96.4806796951455,nM,nM,BT-549
